,LOC,ZC,CITY,road,state,LAT,LONG
1164,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.73486525,-73.98875642
1165,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.7192033,-73.98549789
1166,Club/Bar/Restaurant,10310.0,Staten Island,Staten Island,NY,40.63798634,-74.10954149
1167,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72262119,-73.9924347
1168,Club/Bar/Restaurant,11103.0,Astoria,Queens,NY,40.76193294,-73.91084501
1169,Club/Bar/Restaurant,10009.0,New York,Manhattan,NY,40.72436787,-73.97866364
1170,Club/Bar/Restaurant,10022.0,New York,Manhattan,NY,40.75851818,-73.967434
1171,Club/Bar/Restaurant,11249.0,,Brooklyn,NY,40.71100589,-73.96536874
1172,Club/Bar/Restaurant,10040.0,New York,Manhattan,NY,40.8605242,-73.92768963
1173,Club/Bar/Restaurant,10025.0,New York,Manhattan,NY,40.79890019,-73.96311619
1174,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.708612,-73.94342188
1175,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.73123668,-73.98868847
1176,Club/Bar/Restaurant,11417.0,Ozone Park,Queens,NY,40.68207809,-73.83682297
1177,Club/Bar/Restaurant,11207.0,,Brooklyn,NY,40.67699328,-73.88846565
1178,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.70731187,-73.93976925
1179,Club/Bar/Restaurant,10033.0,Nyc,Manhattan,NY,40.85032261,-73.93301057
1180,Club/Bar/Restaurant,10028.0,New York,Manhattan,NY,40.77641157,-73.95280236
1181,Club/Bar/Restaurant,11377.0,Woodside,Queens,NY,40.7468511,-73.90140603
1182,Club/Bar/Restaurant,11249.0,,Brooklyn,NY,40.71837662,-73.96009803
1183,Club/Bar/Restaurant,11201.0,,Brooklyn,NY,40.69319208,-73.99858642
1184,Club/Bar/Restaurant,10308.0,Staten Island,Staten Island,NY,40.54154749,-74.1466613
1185,Club/Bar/Restaurant,10034.0,New York,Manhattan,NY,40.86637626,-73.92826174
1186,Club/Bar/Restaurant,11234.0,,Brooklyn,NY,40.61678654,-73.93046423
1187,Club/Bar/Restaurant,11249.0,,Brooklyn,NY,40.71996962,-73.95544697
1188,Club/Bar/Restaurant,10469.0,Bronx,Bronx,NY,40.87910982,-73.84324268
1189,Club/Bar/Restaurant,11372.0,Jackson Heights,Queens,NY,40.75549389,-73.88606747
1190,Club/Bar/Restaurant,11103.0,Astoria,Queens,NY,40.76001899,-73.9170346
1191,Club/Bar/Restaurant,10128.0,New York,Manhattan,NY,40.78091958,-73.94905834
1192,Club/Bar/Restaurant,10040.0,New York,Manhattan,NY,40.86422327,-73.9264383
1193,Club/Bar/Restaurant,10013.0,New York,Manhattan,NY,40.72257198,-74.0036221
1194,Club/Bar/Restaurant,11205.0,,Brooklyn,NY,40.68910459,-73.95506734
1195,Club/Bar/Restaurant,10028.0,New York,Manhattan,NY,40.77760484,-73.95112256
1196,Club/Bar/Restaurant,10022.0,New York,Manhattan,NY,40.75613305,-73.96760482
1197,Club/Bar/Restaurant,11372.0,Jackson Heights,Queens,NY,40.75579024,-73.88325157
